DEBUG 2012-03-12 11:07:27,991 [unknown_RequestHandler_7af70000_addTopic] - start_requestHandler
INFO  2012-03-12 11:07:28,020 [unknown_RequestHandler_7af70000_addTopic] - duration_serializer_1 29ms
INFO  2012-03-12 11:07:28,021 [unknown_RequestHandler_7af70000_addTopic] - duration_validator 1ms
DEBUG 2012-03-12 11:07:28,149 [uva.arrm_RequestHandler_7af70001_isAvailable] - start_requestHandler
INFO  2012-03-12 11:07:28,153 [uva.arrm_RequestHandler_7af70001_isAvailable] - duration_serializer_1 4ms
INFO  2012-03-12 11:07:28,153 [uva.arrm_RequestHandler_7af70001_isAvailable] - duration_validator 0ms
INFO  2012-03-12 11:07:28,159 [uva.arrm_RequestHandler_7af70001_isAvailable] - duration_processing 6ms
INFO  2012-03-12 11:07:28,159 [uva.arrm_RequestHandler_7af70001_isAvailable] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,162 [uva.arrm_RequestHandler_7af70001_isAvailable] - duration_serializer_2 3ms
INFO  2012-03-12 11:07:28,162 [uva.arrm_RequestHandler_7af70001_isAvailable] - duration_requestHandler 13ms
DEBUG 2012-03-12 11:07:28,171 [uva.arrm_RequestHandler_7af70002_createReservation] - start_requestHandler
INFO  2012-03-12 11:07:28,174 [uva.arrm_RequestHandler_7af70002_createReservation] - duration_serializer_1 3ms
INFO  2012-03-12 11:07:28,190 [uva.arrm_RequestHandler_7af70002_createReservation] - duration_validator 16ms
INFO  2012-03-12 11:07:28,192 [uva.arrm_RequestHandler_7af70002_createReservation] - duration_processing 2ms
INFO  2012-03-12 11:07:28,192 [uva.arrm_RequestHandler_7af70002_createReservation] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,195 [uva.arrm_RequestHandler_7af70002_createReservation] - duration_serializer_2 3ms
INFO  2012-03-12 11:07:28,195 [uva.arrm_RequestHandler_7af70002_createReservation] - duration_requestHandler 24ms
DEBUG 2012-03-12 11:07:28,199 [uva.arrm_RequestHandler_7af70003_getStatus] - start_requestHandler
INFO  2012-03-12 11:07:28,200 [uva.arrm_RequestHandler_7af70003_getStatus] - duration_serializer_1 1ms
INFO  2012-03-12 11:07:28,201 [uva.arrm_RequestHandler_7af70003_getStatus] - duration_validator 1ms
INFO  2012-03-12 11:07:28,201 [uva.arrm_RequestHandler_7af70003_getStatus] - duration_processing 0ms
INFO  2012-03-12 11:07:28,201 [uva.arrm_RequestHandler_7af70003_getStatus] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,207 [uva.arrm_RequestHandler_7af70003_getStatus] - duration_serializer_2 6ms
INFO  2012-03-12 11:07:28,207 [uva.arrm_RequestHandler_7af70003_getStatus] - duration_requestHandler 8ms
DEBUG 2012-03-12 11:07:28,215 [uva.arrm_RequestHandler_7af70004_cancelReservation] - start_requestHandler
INFO  2012-03-12 11:07:28,216 [uva.arrm_RequestHandler_7af70004_cancelReservation] - duration_serializer_1 1ms
INFO  2012-03-12 11:07:28,217 [uva.arrm_RequestHandler_7af70004_cancelReservation] - duration_validator 1ms
INFO  2012-03-12 11:07:28,218 [uva.arrm_RequestHandler_7af70004_cancelReservation] - duration_processing 1ms
INFO  2012-03-12 11:07:28,218 [uva.arrm_RequestHandler_7af70004_cancelReservation] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,222 [uva.arrm_RequestHandler_7af70004_cancelReservation] - duration_serializer_2 4ms
INFO  2012-03-12 11:07:28,222 [uva.arrm_RequestHandler_7af70004_cancelReservation] - duration_requestHandler 7ms
DEBUG 2012-03-12 11:07:28,225 [uva.arrm_RequestHandler_7af70005_getStatus] - start_requestHandler
INFO  2012-03-12 11:07:28,226 [uva.arrm_RequestHandler_7af70005_getStatus] - duration_serializer_1 1ms
INFO  2012-03-12 11:07:28,226 [uva.arrm_RequestHandler_7af70005_getStatus] - duration_validator 0ms
INFO  2012-03-12 11:07:28,227 [uva.arrm_RequestHandler_7af70005_getStatus] - duration_processing 1ms
INFO  2012-03-12 11:07:28,227 [uva.arrm_RequestHandler_7af70005_getStatus] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,230 [uva.arrm_RequestHandler_7af70005_getStatus] - duration_serializer_2 3ms
INFO  2012-03-12 11:07:28,230 [uva.arrm_RequestHandler_7af70005_getStatus] - duration_requestHandler 5ms
DEBUG 2012-03-12 11:07:28,239 [uva.arrm_RequestHandler_7af70006_isAvailable] - start_requestHandler
